field_name,field_type
sell_gen_admin_exp_other_ratio_ttm,percent
float_shares_outstanding,number
SMA5SMA5SMA5|1SMA5|5SMA5|15SMA5|30SMA5|60SMA5|120SMA5|240SMA5|1WSMA5|1M,number
SMA10SMA10SMA10|1SMA10|5SMA10|15SMA10|30SMA10|60SMA10|120SMA10|240SMA10|1WSMA10|1M,number
SMA20SMA20SMA20|1SMA20|5SMA20|15SMA20|30SMA20|60SMA20|120SMA20|240SMA20|1WSMA20|1M,number
SMA30SMA30SMA30|1SMA30|5SMA30|15SMA30|30SMA30|60SMA30|120SMA30|240SMA30|1WSMA30|1M,number
SMA50SMA50SMA50|1SMA50|5SMA50|15SMA50|30SMA50|60SMA50|120SMA50|240SMA50|1WSMA50|1M,number
SMA100SMA100SMA100|1SMA100|5SMA100|15SMA100|30SMA100|60SMA100|120SMA100|240SMA100|1WSMA100|1M,number
SMA200SMA200SMA200|1SMA200|5SMA200|15SMA200|30SMA200|60SMA200|120SMA200|240SMA200|1WSMA200|1M,number
Stoch.DStoch.DStoch.D|1Stoch.D|5Stoch.D|15Stoch.D|30Stoch.D|60Stoch.D|120Stoch.D|240Stoch.D|1WStoch.D|1M,number
Stoch.KStoch.KStoch.K|1Stoch.K|5Stoch.K|15Stoch.K|30Stoch.K|60Stoch.K|120Stoch.K|240Stoch.K|1WStoch.K|1M,number
Stoch.RSI.KStoch.RSI.KStoch.RSI.K|1Stoch.RSI.K|5Stoch.RSI.K|15Stoch.RSI.K|30Stoch.RSI.K|60Stoch.RSI.K|120Stoch.RSI.K|240Stoch.RSI.K|1WStoch.RSI.K|1M,number
Stoch.RSI.DStoch.RSI.DStoch.RSI.D|1Stoch.RSI.D|5Stoch.RSI.D|15Stoch.RSI.D|30Stoch.RSI.D|60Stoch.RSI.D|120Stoch.RSI.D|240Stoch.RSI.D|1WStoch.RSI.D|1M,number
submarket,string
total_assets_yoy_growth_fy,percent
total_assets,fundamental_price
total_assets_qoq_growth_fq,percent
total_assets_yoy_growth_fq,percent
total_current_assets,fundamental_price
total_debt_yoy_growth_fy,percent
total_debt,fundamental_price
total_debt_qoq_growth_fq,percent
total_debt_yoy_growth_fq,percent
total_liabilities_fy,fundamental_price
